location_id,client_name,site_name,city,state,zip_code,latitude,longitude,priority_level,required_service
L044,Pioneer Storage,Columbus Site 44,Columbus,OH,43215,39.539218,-82.810247,Medium,Pipe Lining
L045,Pioneer Storage,Chicago Site 45,Chicago,IL,60601,41.700801,-87.720906,High,Catch Basin Repair
L046,Metro Office Partners,Peoria Site 46,Peoria,IL,61602,40.44404,-89.870994,Medium,Vactor / Jet Vac
L047,Maple Street Markets,Cincinnati Site 47,Cincinnati,OH,45202,39.071809,-84.657915,Medium,CCTV Inspection
L048,Civic Square Properties,Lansing Site 48,Lansing,MI,48933,42.800535,-84.464992,Standard,Pipe Lining
L049,Juniper Health,Louisville Site 49,Louisville,KY,40202,38.310453,-85.71078,High,CCTV Inspection
L050,Riverside Hospitality,Dayton Site 50,Dayton,OH,45402,40.042898,-84.405119,Standard,Erosion Control
L051,Pioneer Storage,Milwaukee Site 51,Milwaukee,WI,53202,43.029012,-87.679962,Medium,CCTV Inspection
L052,Juniper Health,Louisville Site 52,Louisville,KY,40202,38.480317,-86.042853,Standard,Pipe Lining
L053,Metro Office Partners,Toledo Site 53,Toledo,OH,43604,41.596576,-83.266276,Medium,Pipe Lining
L054,Civic Square Properties,Cleveland Site 54,Cleveland,OH,44113,41.590754,-81.655347,Medium,CCTV Inspection
L055,Juniper Health,Terre Haute Site 55,Terre Haute,IN,47807,39.427517,-87.49066,Standard,Stormwater Inspection
L056,Metro Office Partners,Chicago Site 56,Chicago,IL,60601,41.929979,-87.680275,High,Stormwater Inspection
L057,Harbor Foods,Chicago Site 57,Chicago,IL,60601,41.870436,-87.61408,Medium,Pipe Lining
L058,Harbor Foods,Grand Rapids Site 58,Grand Rapids,MI,49503,42.841347,-85.561674,Medium,Pipe Lining
L059,Juniper Health,Terre Haute Site 59,Terre Haute,IN,47807,39.991264,-87.769297,Standard,Vactor / Jet Vac
L060,Northline Retail,Louisville Site 60,Louisville,KY,40202,38.311022,-85.910538,Medium,Catch Basin Repair
L061,Unity Manufacturing,Lexington Site 61,Lexington,KY,40507,38.144532,-84.494389,Medium,Emergency Callout
L062,Riverside Hospitality,Chicago Site 62,Chicago,IL,60601,42.015234,-87.394699,Medium,Emergency Callout
L063,Harbor Foods,Springfield Site 63,Springfield,IL,62701,39.816336,-89.42369,High,Vactor / Jet Vac
L064,Atlas Distribution,Columbus Site 64,Columbus,OH,43215,39.539226,-82.68071,High,Catch Basin Repair
L065,Atlas Distribution,Grand Rapids Site 65,Grand Rapids,MI,49503,43.030911,-85.452531,High,Emergency Callout
L066,Oak & Main Retail,Lansing Site 66,Lansing,MI,48933,42.512922,-84.721654,Standard,Emergency Callout
L067,Unity Manufacturing,Grand Rapids Site 67,Grand Rapids,MI,49503,42.989669,-85.671508,High,CCTV Inspection
L068,Unity Manufacturing,Dayton Site 68,Dayton,OH,45402,39.809852,-83.974697,Standard,Erosion Control
L069,Northline Retail,Grand Rapids Site 69,Grand Rapids,MI,49503,42.64566,-85.473336,Standard,Emergency Callout
L070,Maple Street Markets,Grand Rapids Site 70,Grand Rapids,MI,49503,42.964891,-85.708856,Standard,CCTV Inspection
L071,Atlas Distribution,Columbus Site 71,Columbus,OH,43215,39.696399,-82.89819,Standard,Vactor / Jet Vac
L072,Atlas Distribution,Peoria Site 72,Peoria,IL,61602,40.259061,-89.459321,Medium,CCTV Inspection
L073,Civic Square Properties,Peoria Site 73,Peoria,IL,61602,40.425021,-89.578308,Standard,Catch Basin Repair
L074,Oak & Main Retail,Cincinnati Site 74,Cincinnati,OH,45202,39.08165,-84.278092,Medium,Erosion Control
L075,Riverside Hospitality,Milwaukee Site 75,Milwaukee,WI,53202,43.006742,-88.045328,Medium,Pipe Lining
