job_id,provider_id,location_id,service,completion_date,job_cost,distance_miles,response_hours,days_to_complete,quality_score,job_status
J00031,P0176,L074,CCTV Inspection,2025-01-11,3491.14,145.1,22,4,3.7,Completed
J00032,P0194,L009,Pipe Lining,2026-04-12,9602.54,101.2,30,8,4.1,Completed
J00033,P0275,L008,Pipe Lining,2025-11-24,8777.27,14.1,12,11,3.8,Completed
J00034,P0066,L061,Vactor / Jet Vac,2024-06-17,4254.62,28.7,1,2,3.9,Completed
J00035,P0121,L074,Catch Basin Repair,2024-06-04,6007.46,124.2,23,1,4.0,Cancelled
J00036,P0263,L012,Emergency Callout,2024-03-29,2915.2,56.3,18,5,4.5,Completed
J00037,P0102,L072,Pipe Lining,2025-08-26,8596.69,53.4,16,6,3.8,Completed
J00038,P0152,L050,Erosion Control,2024-11-18,7357.86,236.0,30,4,4.5,Completed
J00039,P0290,L008,Catch Basin Repair,2024-03-27,2863.85,62.7,13,4,4.1,Completed
J00040,P0156,L062,Pond Maintenance,2025-12-08,7705.73,45.2,9,6,4.2,Completed
J00041,P0267,L032,Pond Maintenance,2025-09-13,7154.74,152.0,18,1,4.4,Completed
J00042,P0116,L061,Stormwater Inspection,2024-02-25,1439.27,42.0,25,3,4.3,Completed
J00043,P0185,L065,Catch Basin Repair,2024-04-25,5758.94,121.2,25,5,3.2,Completed
J00044,P0036,L048,CCTV Inspection,2024-01-13,2760.5,99.1,34,6,3.8,Rework Required
J00045,P0127,L013,Erosion Control,2026-05-31,5999.61,151.2,27,9,3.0,Completed
J00046,P0074,L009,Stormwater Inspection,2025-11-30,1836.77,114.3,38,4,3.9,Completed
J00047,P0222,L071,Emergency Callout,2026-02-27,3553.58,143.9,38,5,4.9,Completed
J00048,P0161,L036,CCTV Inspection,2024-08-08,2744.3,134.3,48,2,4.2,Completed
J00049,P0093,L062,Vactor / Jet Vac,2025-02-11,3065.01,185.7,19,1,2.8,Completed
J00050,P0242,L041,Stormwater Inspection,2025-02-15,1775.42,98.2,27,1,4.9,Completed
J00051,P0264,L007,Pipe Lining,2024-11-13,10099.3,48.9,31,7,3.4,Completed
J00052,P0277,L013,Catch Basin Repair,2024-06-08,6956.44,256.0,14,3,4.0,Completed
J00053,P0062,L010,Stormwater Inspection,2026-02-20,1851.9,161.2,47,1,4.7,Completed
J00054,P0124,L010,CCTV Inspection,2025-03-23,2369.71,72.5,46,7,4.0,Completed
J00055,P0257,L046,Catch Basin Repair,2024-03-29,5275.63,122.6,23,7,4.5,Cancelled
J00056,P0294,L006,CCTV Inspection,2025-09-15,2100.86,110.5,10,3,3.4,Completed
J00057,P0109,L025,Pipe Lining,2025-12-25,12839.34,136.7,16,2,4.4,Completed
J00058,P0158,L058,Vactor / Jet Vac,2024-12-21,5109.21,129.7,31,1,4.0,Completed
J00059,P0013,L003,Pond Maintenance,2024-05-09,7565.9,158.3,30,6,3.8,Completed
J00060,P0040,L009,Pond Maintenance,2024-04-30,7284.13,65.1,14,6,3.7,Completed
J00061,P0104,L042,Vactor / Jet Vac,2025-03-15,2707.62,146.5,49,3,4.2,Completed
J00062,P0199,L044,CCTV Inspection,2025-08-13,3037.3,151.1,22,3,4.3,Completed
J00063,P0284,L005,Emergency Callout,2025-01-03,4299.0,137.5,22,2,4.4,Completed
J00064,P0126,L013,Pipe Lining,2024-09-18,6748.45,59.9,7,7,3.9,Completed
J00065,P0159,L060,CCTV Inspection,2025-06-05,3022.57,150.0,7,5,4.2,Completed
J00066,P0132,L041,Vactor / Jet Vac,2025-04-28,2361.79,173.6,18,6,4.9,Completed
J00067,P0180,L044,Pipe Lining,2026-05-28,11342.43,132.1,15,1,4.2,Completed
J00068,P0114,L067,Stormwater Inspection,2024-09-11,2006.32,120.2,24,1,4.0,Completed
J00069,P0008,L031,Erosion Control,2024-03-20,4555.53,102.8,19,8,3.8,Completed
J00070,P0149,L028,CCTV Inspection,2026-07-12,2681.48,84.5,20,2,3.7,Completed
J00071,P0170,L025,Catch Basin Repair,2024-02-17,5733.7,48.4,21,4,3.6,Rework Required
J00072,P0237,L021,CCTV Inspection,2026-06-05,2487.54,164.0,17,8,4.5,Completed
J00073,P0038,L001,Pond Maintenance,2025-07-20,6911.92,97.8,37,4,3.2,Completed
J00074,P0026,L006,Erosion Control,2025-07-31,3703.81,80.9,4,1,3.8,Completed
J00075,P0021,L022,Catch Basin Repair,2025-08-28,7084.95,148.0,10,3,4.2,Rework Required
J00076,P0108,L014,Catch Basin Repair,2025-07-13,4778.81,169.0,18,6,2.5,Completed
J00077,P0084,L060,Catch Basin Repair,2025-02-23,3763.92,96.5,39,3,4.5,Completed
J00078,P0127,L004,Erosion Control,2025-12-11,5593.12,160.8,20,4,3.4,Completed
J00079,P0099,L018,Erosion Control,2025-11-04,5872.66,16.8,15,5,4.1,Completed
J00080,P0101,L013,Pond Maintenance,2025-06-26,8029.23,122.9,7,6,3.3,Rework Required
J00081,P0067,L024,Stormwater Inspection,2024-03-02,2469.31,166.4,25,3,3.7,Rework Required
J00082,P0281,L036,Pipe Lining,2024-04-05,10050.43,163.4,11,9,3.3,Completed
J00083,P0186,L069,Catch Basin Repair,2025-06-16,4478.68,113.8,34,6,4.2,Completed
J00084,P0172,L024,Erosion Control,2026-02-04,5387.79,74.2,30,5,3.0,Completed
J00085,P0029,L027,CCTV Inspection,2025-10-14,1789.48,75.4,15,2,4.0,Completed
J00086,P0028,L060,CCTV Inspection,2024-03-04,2858.73,96.6,58,6,5.0,Completed
J00087,P0054,L060,Pipe Lining,2024-09-24,9082.62,107.7,24,8,4.3,Completed
J00088,P0143,L037,Stormwater Inspection,2026-01-23,1515.32,100.6,17,9,4.0,Completed
J00089,P0224,L057,Emergency Callout,2024-03-17,3943.25,82.3,14,5,3.9,Cancelled
J00090,P0121,L003,Pipe Lining,2025-08-21,10717.2,149.6,17,4,4.3,Completed
J00091,P0159,L016,CCTV Inspection,2025-04-22,2671.18,125.0,1,9,4.6,Completed
J00092,P0045,L040,CCTV Inspection,2026-02-27,2098.24,80.0,32,5,3.7,Completed
J00093,P0111,L025,Pond Maintenance,2026-05-22,5660.36,88.6,26,7,5.0,Completed
J00094,P0297,L044,Pipe Lining,2024-11-07,6930.33,168.9,35,7,3.8,Completed
J00095,P0198,L011,Vactor / Jet Vac,2026-05-27,3821.72,136.9,22,1,4.2,Completed
J00096,P0294,L020,CCTV Inspection,2024-12-30,2606.26,137.6,14,3,3.8,Completed
J00097,P0114,L029,Vactor / Jet Vac,2024-09-23,4658.23,108.1,27,7,4.2,Completed
J00098,P0199,L042,Pipe Lining,2025-02-18,10837.56,157.6,18,8,5.0,Completed
J00099,P0066,L042,Catch Basin Repair,2024-04-14,4404.17,160.4,31,3,3.2,Completed
J00100,P0248,L048,Pipe Lining,2024-03-04,7370.03,138.6,46,8,4.5,Completed
J00101,P0261,L058,Catch Basin Repair,2026-04-23,7540.73,100.1,25,2,4.9,Completed
J00102,P0007,L041,CCTV Inspection,2024-09-22,1969.92,126.7,33,6,3.6,Cancelled
J00103,P0138,L012,CCTV Inspection,2024-03-07,3333.92,121.7,16,1,3.5,Completed
J00104,P0211,L061,Emergency Callout,2024-04-04,3495.01,128.2,10,6,4.9,Cancelled
J00105,P0285,L056,Erosion Control,2025-04-17,5489.79,73.4,29,5,5.0,Completed
J00106,P0014,L046,Stormwater Inspection,2025-02-08,1837.17,134.5,20,1,3.9,Completed
J00107,P0218,L006,Stormwater Inspection,2024-06-25,1167.59,29.5,17,1,4.5,Completed
J00108,P0197,L070,Pipe Lining,2025-04-01,10073.51,121.4,15,5,4.6,Completed
J00109,P0126,L023,Vactor / Jet Vac,2025-09-23,3940.52,27.6,1,5,4.1,Completed
J00110,P0081,L034,Pond Maintenance,2026-06-22,7694.98,138.2,29,5,3.8,Completed
J00111,P0143,L014,Vactor / Jet Vac,2025-01-27,4764.79,141.2,23,6,4.2,Completed
J00112,P0133,L003,Catch Basin Repair,2026-03-27,3671.14,30.6,20,7,4.3,Completed
J00113,P0263,L052,Vactor / Jet Vac,2026-03-11,3556.11,223.3,24,9,4.5,Completed
J00114,P0029,L008,Emergency Callout,2025-05-11,2635.02,34.2,8,7,4.2,Completed
J00115,P0011,L035,Erosion Control,2024-07-03,6211.86,110.0,26,3,3.8,Completed
J00116,P0057,L045,Catch Basin Repair,2026-04-10,5143.57,108.6,13,6,4.7,Completed
J00117,P0235,L058,Vactor / Jet Vac,2025-04-28,4419.07,163.3,28,4,3.8,Completed
J00118,P0160,L010,Catch Basin Repair,2024-04-12,5188.21,135.3,26,7,4.9,Completed
J00119,P0020,L031,Catch Basin Repair,2026-04-15,5383.11,143.5,10,5,4.4,Completed
J00120,P0018,L033,Vactor / Jet Vac,2024-08-12,4785.56,119.1,42,3,4.5,Completed
J00121,P0075,L041,Stormwater Inspection,2026-05-09,2053.31,147.9,32,10,4.5,Rework Required
J00122,P0144,L027,Pipe Lining,2025-08-29,11069.13,140.9,8,6,4.1,Completed
J00123,P0290,L032,Erosion Control,2024-01-29,6131.78,187.4,22,9,4.1,Completed
J00124,P0174,L070,Erosion Control,2025-07-31,5819.0,201.9,43,7,3.6,Completed
J00125,P0170,L032,Catch Basin Repair,2026-04-09,4608.6,41.6,26,8,3.8,Completed
J00126,P0029,L069,Emergency Callout,2024-06-28,2338.39,39.6,12,6,4.0,Completed
J00127,P0101,L018,CCTV Inspection,2025-09-08,2495.27,145.1,8,6,3.6,Completed
J00128,P0146,L003,Emergency Callout,2025-09-20,2355.63,30.9,12,3,3.5,Completed
J00129,P0184,L029,Pipe Lining,2024-06-30,11077.48,35.0,10,8,5.0,Cancelled
J00130,P0143,L030,Erosion Control,2024-05-31,5508.92,144.8,39,1,3.9,Completed
J00131,P0256,L021,Pipe Lining,2026-05-16,6364.5,19.9,12,4,4.3,Completed
J00132,P0256,L074,Erosion Control,2025-01-17,6305.51,75.0,22,6,4.6,Completed
J00133,P0242,L031,Stormwater Inspection,2024-12-10,2109.46,158.6,32,3,5.0,Completed
J00134,P0282,L034,Pipe Lining,2026-01-19,9549.74,145.3,19,4,3.6,Cancelled
J00135,P0047,L031,Emergency Callout,2024-06-27,3943.21,131.0,15,3,5.0,Completed
J00136,P0280,L006,Erosion Control,2025-08-26,6086.18,120.6,13,3,4.2,Completed
J00137,P0053,L052,Stormwater Inspection,2025-12-06,1626.44,96.2,29,1,3.9,Completed
J00138,P0126,L046,Pipe Lining,2025-12-19,8242.78,10.5,1,5,3.5,Cancelled
J00139,P0037,L023,Stormwater Inspection,2026-02-28,1926.85,148.3,30,5,5.0,Rework Required
J00140,P0051,L038,Vactor / Jet Vac,2024-11-21,3045.02,21.5,15,6,4.0,Cancelled
J00141,P0213,L075,Catch Basin Repair,2024-04-16,6888.87,149.4,22,8,5.0,Cancelled
J00142,P0046,L044,Pipe Lining,2024-03-20,9523.54,172.4,17,7,3.8,Completed
J00143,P0020,L016,Erosion Control,2026-06-25,5035.55,102.1,10,2,4.4,Rework Required
J00144,P0219,L053,Erosion Control,2024-09-28,6125.99,94.0,16,4,3.9,Completed
J00145,P0159,L055,CCTV Inspection,2026-03-16,2295.57,55.1,4,6,5.0,Completed
J00146,P0066,L035,Vactor / Jet Vac,2025-03-24,4725.56,58.8,19,2,3.2,Completed
J00147,P0275,L051,Pipe Lining,2025-05-19,9173.62,120.3,18,4,3.5,Completed
J00148,P0164,L069,Erosion Control,2024-04-13,5104.59,118.1,6,5,4.7,Completed
J00149,P0141,L012,Catch Basin Repair,2024-03-16,4032.28,57.9,24,8,4.4,Completed
J00150,P0117,L051,Vactor / Jet Vac,2024-11-22,5072.29,150.2,23,3,3.7,Completed
J00151,P0112,L053,CCTV Inspection,2024-06-23,1988.06,161.6,10,4,3.8,Completed
J00152,P0081,L074,Pipe Lining,2025-07-14,10123.49,166.0,37,4,4.1,Cancelled
J00153,P0138,L001,CCTV Inspection,2025-09-20,2554.06,152.1,27,6,3.2,Completed
J00154,P0142,L037,Vactor / Jet Vac,2025-10-31,4610.12,122.1,32,4,4.3,Completed
J00155,P0296,L075,Stormwater Inspection,2024-04-13,1934.4,154.2,47,3,3.4,Completed
J00156,P0260,L064,Catch Basin Repair,2025-07-21,6116.49,153.9,17,2,3.9,Completed
J00157,P0076,L066,Pond Maintenance,2024-10-31,9728.53,156.8,21,1,4.5,Completed
J00158,P0143,L040,Vactor / Jet Vac,2025-07-16,3947.02,105.4,17,1,4.6,Completed
J00159,P0086,L020,Pipe Lining,2024-01-04,10337.32,165.5,37,8,3.8,Completed
J00160,P0280,L062,Pond Maintenance,2025-10-02,4963.99,140.7,13,12,4.8,Completed
J00161,P0090,L030,Catch Basin Repair,2024-07-30,5020.44,173.5,33,8,5.0,Completed
J00162,P0279,L006,Pond Maintenance,2025-04-29,5254.48,23.0,8,8,5.0,Completed
J00163,P0138,L001,Pond Maintenance,2025-04-27,5970.42,152.1,18,5,3.8,Completed
J00164,P0012,L007,Pond Maintenance,2025-07-11,6624.27,169.5,20,5,3.9,Completed
J00165,P0293,L041,Erosion Control,2025-01-13,6536.46,148.2,47,6,4.9,Completed
J00166,P0190,L062,Vactor / Jet Vac,2025-04-21,4231.01,141.7,11,5,4.9,Completed
J00167,P0134,L073,Pond Maintenance,2024-06-03,7484.71,120.2,8,7,3.9,Completed
J00168,P0073,L010,CCTV Inspection,2024-12-18,2939.16,91.6,35,4,3.8,Completed
J00169,P0085,L023,Stormwater Inspection,2025-08-26,2717.23,237.0,26,4,2.7,Completed
J00170,P0287,L005,Vactor / Jet Vac,2026-04-18,5024.98,160.2,15,8,3.6,Completed
J00171,P0134,L049,Emergency Callout,2024-08-29,3689.24,144.2,1,1,4.1,Completed
J00172,P0022,L017,CCTV Inspection,2026-05-24,2393.28,37.5,1,4,5.0,Completed
J00173,P0250,L066,Pipe Lining,2026-02-14,8589.82,63.6,10,9,4.6,Completed
J00174,P0220,L038,Pipe Lining,2026-04-07,7579.36,127.6,25,6,4.9,Completed
J00175,P0269,L006,Vactor / Jet Vac,2025-11-30,3841.99,16.3,7,3,4.5,Completed
J00176,P0043,L049,Pipe Lining,2024-09-21,9072.55,29.0,21,8,4.0,Completed
J00177,P0192,L041,CCTV Inspection,2025-07-23,3063.64,162.2,23,1,4.3,Completed
J00178,P0202,L057,Erosion Control,2025-06-16,4884.35,118.0,35,10,5.0,Completed
J00179,P0026,L075,Vactor / Jet Vac,2025-09-30,4830.96,84.1,10,6,4.8,Completed
J00180,P0247,L035,Stormwater Inspection,2024-06-02,1645.6,75.8,32,3,3.9,Completed
J00181,P0178,L071,CCTV Inspection,2025-07-30,3566.68,162.3,1,4,3.1,Completed
J00182,P0008,L014,Pond Maintenance,2026-06-20,5872.62,101.5,28,1,4.0,Completed
J00183,P0170,L022,Stormwater Inspection,2025-11-01,2001.05,126.6,35,4,3.8,Completed
J00184,P0120,L015,Emergency Callout,2024-10-09,3185.41,121.5,1,3,4.5,Completed
J00185,P0113,L016,Stormwater Inspection,2026-06-29,1832.27,127.4,24,6,4.3,Completed
J00186,P0135,L074,Catch Basin Repair,2025-05-01,5087.64,86.0,20,7,3.0,Cancelled
J00187,P0178,L061,Erosion Control,2026-04-17,5331.66,48.8,1,3,2.9,Completed
J00188,P0134,L033,Pond Maintenance,2025-05-18,8570.54,165.0,3,7,3.8,Completed
J00189,P0087,L070,CCTV Inspection,2024-08-21,2246.42,157.0,37,2,3.1,Completed
J00190,P0241,L044,Emergency Callout,2024-11-24,3285.48,129.1,18,4,3.4,Completed
J00191,P0207,L063,Stormwater Inspection,2024-04-01,804.79,22.3,9,8,3.8,Completed
J00192,P0013,L012,Catch Basin Repair,2025-02-20,5678.98,294.7,45,9,4.2,Completed
J00193,P0226,L019,Erosion Control,2025-06-11,5219.8,48.7,6,1,3.4,Completed
J00194,P0028,L063,CCTV Inspection,2025-06-02,3094.05,120.7,66,3,5.0,Completed
J00195,P0005,L003,Vactor / Jet Vac,2026-06-15,4604.09,17.3,28,3,4.1,Completed
J00196,P0172,L065,Vactor / Jet Vac,2025-04-12,4226.2,136.3,23,7,2.9,Completed
J00197,P0256,L014,Erosion Control,2024-10-07,6625.39,158.5,21,3,4.1,Completed
J00198,P0025,L006,Emergency Callout,2025-10-12,4246.81,172.5,41,4,4.8,Cancelled
J00199,P0126,L004,Vactor / Jet Vac,2025-05-15,5153.04,17.2,1,7,4.0,Completed
J00200,P0004,L018,Pipe Lining,2025-04-30,11078.03,149.5,22,6,4.9,Completed
J00201,P0262,L050,Erosion Control,2026-05-07,4739.71,69.5,15,5,3.1,Completed
J00202,P0206,L002,CCTV Inspection,2025-01-30,1750.95,27.2,29,4,4.5,Completed
J00203,P0147,L016,Catch Basin Repair,2025-10-24,3006.67,2.9,12,1,3.7,Completed
J00204,P0083,L019,Catch Basin Repair,2025-02-23,4674.63,170.0,21,2,4.3,Completed
J00205,P0255,L065,Vactor / Jet Vac,2024-05-15,3696.17,69.3,13,8,4.6,Completed
J00206,P0158,L001,Vactor / Jet Vac,2025-09-14,4247.81,90.9,18,4,3.8,Completed
J00207,P0209,L072,Pond Maintenance,2025-12-27,6489.19,15.0,6,6,3.5,Completed
J00208,P0127,L016,Stormwater Inspection,2026-05-22,1925.41,165.7,27,3,3.9,Completed
J00209,P0093,L067,Pond Maintenance,2024-11-05,6846.54,128.6,13,6,3.3,Completed
J00210,P0014,L024,Stormwater Inspection,2024-01-08,1853.65,129.2,22,6,5.0,Completed
J00211,P0061,L075,Erosion Control,2025-08-31,5026.34,99.7,27,4,4.4,Completed
J00212,P0039,L014,Pond Maintenance,2025-05-08,3287.0,18.5,14,11,4.9,Completed
J00213,P0093,L044,Pond Maintenance,2026-06-01,7559.58,160.8,10,9,3.5,Completed
J00214,P0145,L006,Pond Maintenance,2025-06-13,8216.35,126.1,20,7,3.9,Completed
J00215,P0155,L034,Vactor / Jet Vac,2026-04-01,3970.05,140.9,34,6,5.0,Completed
J00216,P0252,L051,Stormwater Inspection,2025-11-28,2336.63,174.1,17,8,5.0,Completed
J00217,P0090,L013,Vactor / Jet Vac,2024-10-29,4497.43,40.9,26,3,4.7,Completed
J00218,P0135,L007,Stormwater Inspection,2026-01-24,2101.61,111.3,36,1,3.5,Completed
J00219,P0210,L060,Catch Basin Repair,2025-12-31,5601.91,110.2,27,1,4.5,Completed
J00220,P0021,L067,Emergency Callout,2025-11-18,3022.55,92.1,12,4,4.9,Completed
J00221,P0081,L034,Pond Maintenance,2026-05-10,7262.44,138.2,37,7,4.1,Completed
J00222,P0080,L004,Pipe Lining,2025-04-27,5689.37,31.8,12,10,4.1,Completed
J00223,P0276,L058,Pond Maintenance,2025-07-26,7192.93,78.0,42,8,4.5,Completed
J00224,P0241,L056,Pipe Lining,2026-07-10,9064.37,210.8,18,9,4.2,Completed
J00225,P0004,L026,CCTV Inspection,2024-08-16,3157.63,165.7,23,9,4.0,Completed
J00226,P0003,L021,Pond Maintenance,2026-06-27,3958.16,93.8,18,6,4.5,Completed
J00227,P0138,L051,Pond Maintenance,2025-04-19,8442.91,173.7,24,5,3.3,Completed
J00228,P0183,L018,Emergency Callout,2025-10-11,3856.32,161.3,45,8,4.0,Completed
J00229,P0087,L029,CCTV Inspection,2024-07-18,2437.72,144.4,43,8,3.8,Completed
J00230,P0114,L069,Stormwater Inspection,2025-02-27,1713.37,95.0,27,5,3.8,Completed
J00231,P0180,L044,Pipe Lining,2024-07-24,9767.08,132.1,21,8,4.9,Completed
J00232,P0284,L031,Emergency Callout,2026-06-02,3235.31,158.3,25,6,4.3,Completed
J00233,P0036,L025,CCTV Inspection,2025-10-08,3009.11,118.0,35,8,3.8,Rework Required
J00234,P0112,L017,Erosion Control,2024-01-05,7254.58,131.0,14,6,3.8,Completed
J00235,P0210,L005,Catch Basin Repair,2024-06-21,5209.89,61.9,26,9,3.9,Completed
J00236,P0208,L071,Pipe Lining,2026-02-20,10786.79,136.2,27,12,4.8,Completed
J00237,P0205,L031,Pipe Lining,2025-10-10,10257.06,174.4,1,5,4.9,Completed
J00238,P0075,L061,Stormwater Inspection,2025-01-27,2257.98,144.7,20,6,4.4,Completed
J00239,P0066,L068,Catch Basin Repair,2024-01-15,4221.01,121.5,18,6,4.1,Completed
J00240,P0014,L034,Catch Basin Repair,2024-01-05,3814.54,120.6,15,5,4.9,Completed
J00241,P0148,L007,Catch Basin Repair,2026-06-17,4894.18,150.9,1,7,3.3,Completed
J00242,P0047,L055,Pipe Lining,2025-05-30,11117.91,125.4,4,5,4.7,Completed
J00243,P0051,L050,Pipe Lining,2024-02-16,8407.22,169.2,19,11,3.6,Completed
J00244,P0108,L008,Pond Maintenance,2025-06-16,7015.17,160.5,26,6,2.9,Completed
J00245,P0283,L064,Erosion Control,2025-12-04,6038.03,126.7,48,9,4.5,Rework Required
J00246,P0127,L029,Erosion Control,2025-05-16,6669.57,209.1,24,3,3.3,Completed
J00247,P0178,L074,Catch Basin Repair,2026-04-11,4547.9,77.9,10,8,3.0,Completed
J00248,P0295,L010,Catch Basin Repair,2024-05-14,4924.38,115.1,25,4,3.4,Completed
J00249,P0143,L062,Vactor / Jet Vac,2024-06-22,4302.41,173.2,18,2,4.7,Completed
J00250,P0218,L028,Vactor / Jet Vac,2025-10-17,5798.23,130.5,31,3,4.6,Completed
J00251,P0089,L068,Vactor / Jet Vac,2024-02-19,3686.4,152.6,15,1,5.0,Completed
J00252,P0286,L026,Vactor / Jet Vac,2024-04-28,3752.34,174.5,34,3,4.6,Completed
J00253,P0252,L020,Stormwater Inspection,2024-09-15,823.86,2.9,13,5,4.6,Completed
J00254,P0246,L046,Pipe Lining,2025-12-03,9022.72,42.9,25,3,4.4,Completed
J00255,P0124,L024,Pond Maintenance,2024-04-13,5848.19,89.7,36,5,3.9,Completed
J00256,P0092,L016,Pond Maintenance,2025-12-18,7731.22,140.0,28,10,4.1,Completed
J00257,P0294,L031,CCTV Inspection,2025-09-24,3141.09,162.8,6,5,4.1,Completed
J00258,P0101,L018,CCTV Inspection,2025-05-24,2728.06,145.1,1,5,3.9,Completed
J00259,P0108,L023,Catch Basin Repair,2026-05-01,5293.11,137.5,22,3,2.6,Completed
J00260,P0185,L042,Catch Basin Repair,2025-02-23,3492.92,151.1,13,5,4.4,Completed
J00261,P0148,L014,Vactor / Jet Vac,2024-07-31,3983.53,148.7,1,2,3.5,Completed
J00262,P0183,L018,Emergency Callout,2024-01-03,3915.47,161.3,44,7,4.1,Completed
J00263,P0048,L003,CCTV Inspection,2026-05-05,2343.89,140.6,21,2,4.0,Completed
J00264,P0168,L054,Emergency Callout,2024-04-02,2768.67,24.8,22,8,5.0,Completed
J00265,P0033,L071,CCTV Inspection,2024-04-13,2907.25,164.6,37,1,3.9,Cancelled
J00266,P0148,L011,Catch Basin Repair,2024-10-30,4135.63,141.3,6,7,3.5,Completed
J00267,P0013,L005,Vactor / Jet Vac,2024-06-27,4491.92,168.3,32,5,4.5,Completed
J00268,P0081,L026,Pond Maintenance,2025-11-24,8896.73,152.2,37,3,4.1,Completed
J00269,P0138,L032,CCTV Inspection,2026-02-15,2699.42,149.5,10,5,3.8,Completed
J00270,P0128,L005,Vactor / Jet Vac,2025-11-10,3359.54,150.0,25,4,5.0,Completed
J00271,P0114,L028,Erosion Control,2025-03-24,5395.63,103.5,19,2,5.0,Rework Required
J00272,P0171,L020,Pond Maintenance,2024-04-05,6639.39,122.1,27,5,3.9,Completed
J00273,P0147,L046,Erosion Control,2025-02-14,6153.11,30.3,38,9,3.8,Completed
J00274,P0243,L068,Emergency Callout,2025-01-29,4405.72,145.2,1,1,4.3,Completed
J00275,P0263,L026,Emergency Callout,2025-10-26,3292.8,21.1,33,3,4.3,Completed
J00276,P0056,L003,Pipe Lining,2025-12-13,9911.18,171.2,31,6,4.1,Completed
J00277,P0041,L021,Pipe Lining,2025-08-27,10046.88,132.4,12,4,4.7,Completed
J00278,P0212,L026,Emergency Callout,2025-01-23,2353.53,87.7,32,7,4.1,Completed
J00279,P0198,L057,Vactor / Jet Vac,2026-06-20,3502.21,113.0,15,7,3.9,Completed
J00280,P0080,L063,Pipe Lining,2025-05-14,10383.66,63.4,3,11,4.7,Completed
J00281,P0183,L018,Stormwater Inspection,2024-03-05,2044.73,161.3,42,5,3.8,Completed
J00282,P0143,L050,Erosion Control,2026-06-08,5252.26,83.3,17,12,4.4,Completed
J00283,P0058,L009,Catch Basin Repair,2025-11-16,5088.37,214.2,29,3,4.6,Completed
J00284,P0148,L046,CCTV Inspection,2026-01-14,2183.15,49.4,5,7,3.6,Completed
J00285,P0179,L022,Erosion Control,2025-10-18,5410.46,103.5,20,5,4.0,Completed
J00286,P0227,L067,Vactor / Jet Vac,2024-06-09,3664.07,118.2,31,5,4.5,Completed
J00287,P0213,L008,Emergency Callout,2026-06-09,3047.18,71.4,21,6,4.9,Completed
