provider_id,provider_name,city,state,latitude,longitude,services,capacity,active_jobs,utilization_pct,rating,average_response_hours,agreement_status
P0025,Northstar Field Services,Lansing,MI,42.445921,-84.498132,Emergency Callout,17,10,58.8,4.8,29,Active
P0026,Midwest Waterworks,Chicago,IL,41.978024,-87.161543,Erosion Control | Vactor / Jet Vac,24,9,37.5,3.9,9,Active
P0027,Prairie Infrastructure,Cleveland,OH,41.390153,-82.13494,Catch Basin Repair,21,13,61.9,4.1,3,Active
P0028,Evergreen Field Services,Terre Haute,IN,39.182338,-87.313576,CCTV Inspection,18,12,66.7,5.0,52,Active
P0029,Crossroads Environmental 29,Grand Rapids,MI,43.079435,-85.984752,CCTV Inspection | Catch Basin Repair | Emergency Callout | Erosion Control,19,4,21.1,4.3,11,Pending
P0030,Summit Waterworks,Fort Wayne,IN,40.963,-85.335271,Stormwater Inspection,12,6,50.0,4.7,21,Active
P0031,Red Oak Field Services,Grand Rapids,MI,42.918982,-85.999509,Pond Maintenance,10,0,0.0,4.0,19,Active
P0032,Blue River Contracting,Grand Rapids,MI,43.45842,-85.626412,Emergency Callout,20,13,65.0,4.0,6,Active
P0033,Heartland Utility Services,Detroit,MI,42.061167,-83.277872,CCTV Inspection,11,12,109.1,3.8,29,Active
P0034,Clearwater Municipal Services,Lansing,MI,42.47968,-84.257397,CCTV Inspection | Catch Basin Repair,22,13,59.1,4.1,19,Active
P0035,Clearwater Contracting,Dayton,OH,39.575559,-84.048857,Stormwater Inspection,8,3,37.5,3.6,5,Active
P0036,Blue River Field Services,South Bend,IN,41.724725,-85.746691,CCTV Inspection | Vactor / Jet Vac,21,12,57.1,4.1,23,Active
P0037,Keystone Contracting,Lafayette,IN,40.78238,-86.805098,Catch Basin Repair | Pipe Lining | Stormwater Inspection,9,3,33.3,4.7,24,Pending
P0038,Northstar Restoration,Toledo,OH,42.082812,-83.479265,Pond Maintenance,7,0,0.0,3.6,38,Active
P0039,Great Lakes Restoration 39,Evansville,IN,38.454226,-87.628546,Pond Maintenance,23,11,47.8,4.9,7,Expiring Soon
P0040,Red Oak Drainage Group,Cincinnati,OH,38.852576,-84.306135,Pond Maintenance | Stormwater Inspection,5,1,20.0,4.2,18,Active
P0041,Blue River Environmental 41,Dayton,OH,39.853421,-83.741206,Erosion Control | Pipe Lining,12,6,50.0,4.5,1,Expiring Soon
P0042,Great Lakes Waterworks 42,Grand Rapids,MI,42.949759,-85.937934,CCTV Inspection | Vactor / Jet Vac,8,0,0.0,3.8,16,Active
P0043,Northstar Restoration 43,Louisville,KY,38.509153,-86.182946,Pipe Lining,5,2,40.0,4.0,16,Active
P0044,Keystone Contracting 44,Fort Wayne,IN,41.360072,-84.967203,Catch Basin Repair,7,7,100.0,4.1,12,Expiring Soon
P0045,Northstar Utility Services,Chicago,IL,41.81542,-87.552201,CCTV Inspection | Catch Basin Repair | Erosion Control | Stormwater Inspection,17,9,52.9,3.7,20,Active
P0046,Prairie Waterworks 46,Cleveland,OH,41.563204,-80.888808,CCTV Inspection | Catch Basin Repair | Pipe Lining,7,9,128.6,3.8,16,Pending
P0047,Clearwater Site Solutions,Springfield,IL,39.371936,-89.839126,Emergency Callout | Pipe Lining | Stormwater Inspection,11,6,54.5,4.7,11,Active
P0048,Premier Contracting,Cincinnati,OH,38.919939,-85.199132,CCTV Inspection,12,6,50.0,3.7,14,Active
P0049,Red Oak Restoration,Lexington,KY,37.795079,-84.533864,Emergency Callout | Vactor / Jet Vac,12,1,8.3,3.5,43,Active
P0050,Blue River Infrastructure,Dayton,OH,39.398422,-84.542571,Emergency Callout | Erosion Control,14,13,92.9,5.0,7,Active
P0051,Heartland Waterworks,Detroit,MI,42.22829,-82.936502,Catch Basin Repair | Pipe Lining | Vactor / Jet Vac,17,14,82.4,3.8,17,Active
P0052,Red Oak Site Solutions 52,Grand Rapids,MI,43.181055,-85.528975,CCTV Inspection | Erosion Control,14,6,42.9,4.1,4,Active
P0053,Great Lakes Drainage Group,Evansville,IN,37.904911,-87.656344,Pipe Lining | Stormwater Inspection,16,9,56.2,4.0,25,Active
P0054,Premier Waterworks,Cincinnati,OH,39.38666,-84.462263,Pipe Lining | Pond Maintenance,22,13,59.1,4.2,20,Active
P0055,Evergreen Drainage Group,Indianapolis,IN,39.566364,-86.056822,Erosion Control,18,9,50.0,5.0,37,Active
P0056,Ironwood Field Services,Cincinnati,OH,39.211137,-84.756178,Erosion Control | Pipe Lining | Vactor / Jet Vac,13,3,23.1,4.7,22,Active
P0057,Midwest Infrastructure,Milwaukee,WI,43.17334,-88.464768,Catch Basin Repair | Erosion Control | Pipe Lining,11,8,72.7,4.4,7,Active
P0058,Clearwater Field Services,Fort Wayne,IN,40.947273,-85.05501,CCTV Inspection | Catch Basin Repair,17,9,52.9,4.1,18,Active
P0059,Central Waterworks,Lexington,KY,37.970046,-84.45488,Vactor / Jet Vac,7,8,114.3,3.0,17,Active
P0060,Central Environmental,Detroit,MI,42.380823,-82.951082,CCTV Inspection | Catch Basin Repair,8,3,37.5,3.4,23,Active
P0061,Northstar Contracting,Grand Rapids,MI,43.447058,-86.158936,Emergency Callout | Erosion Control | Pond Maintenance | Stormwater Inspection,17,11,64.7,4.1,19,Active
P0062,Great Lakes Field Services,Terre Haute,IN,39.171888,-87.520926,Catch Basin Repair | Stormwater Inspection,24,17,70.8,4.5,39,Expiring Soon
P0063,Central Site Solutions,Detroit,MI,42.661075,-82.905292,CCTV Inspection,13,12,92.3,4.4,29,Active
P0064,Keystone Restoration,Cleveland,OH,41.41626,-81.673105,Pipe Lining,11,3,27.3,4.6,7,Expiring Soon
P0065,Heartland Waterworks 65,Cincinnati,OH,39.322158,-84.573008,Catch Basin Repair | Emergency Callout,5,6,120.0,4.5,40,Pending
P0066,Keystone Municipal Services 66,Lexington,KY,38.245217,-85.006753,Catch Basin Repair | Pond Maintenance | Stormwater Inspection | Vactor / Jet Vac,19,10,52.6,3.7,14,Inactive
P0067,Prairie Waterworks 67,Toledo,OH,42.075944,-83.333889,Erosion Control | Pond Maintenance | Stormwater Inspection,21,9,42.9,3.7,20,Pending
P0068,Clearwater Drainage Group,Springfield,IL,39.441063,-89.864865,Catch Basin Repair | Vactor / Jet Vac,14,8,57.1,4.7,26,Expiring Soon
P0069,Keystone Utility Services,Peoria,IL,40.052039,-89.491603,Catch Basin Repair | Erosion Control | Pond Maintenance | Vactor / Jet Vac,4,2,50.0,4.4,37,Active
P0070,Crossroads Field Services,Lafayette,IN,39.838993,-87.064453,Pond Maintenance,16,10,62.5,3.5,36,Active
P0071,Midwest Waterworks 71,Cleveland,OH,41.60244,-81.423493,Stormwater Inspection,12,4,33.3,4.6,31,Active
P0072,Blue River Contracting 72,Grand Rapids,MI,43.028606,-85.593092,CCTV Inspection,24,14,58.3,3.8,18,Expiring Soon
P0073,Clearwater Environmental,Columbus,OH,39.918494,-82.876114,CCTV Inspection | Catch Basin Repair,19,13,68.4,3.7,18,Active
P0074,Central Drainage Group,Cincinnati,OH,39.517908,-84.749948,Pipe Lining | Pond Maintenance | Stormwater Inspection,7,1,14.3,4.3,29,Inactive
P0075,Northstar Environmental,Evansville,IN,37.974799,-87.145833,CCTV Inspection | Catch Basin Repair | Erosion Control | Stormwater Inspection,6,5,83.3,4.6,26,Expiring Soon
P0076,Heartland Drainage Group 76,Columbus,OH,40.612943,-83.064452,CCTV Inspection | Pond Maintenance | Stormwater Inspection,5,0,0.0,4.9,14,Active
P0077,Heartland Restoration 77,Louisville,KY,38.282907,-85.339444,Stormwater Inspection | Vactor / Jet Vac,17,4,23.5,3.6,2,Active
P0078,Red Oak Field Services 78,Louisville,KY,38.030342,-85.617816,CCTV Inspection | Erosion Control | Stormwater Inspection,20,12,60.0,4.3,4,Active
P0079,Prairie Field Services,Grand Rapids,MI,42.316571,-85.650707,Pipe Lining | Pond Maintenance,11,4,36.4,4.4,27,Active
P0080,Clearwater Field Services 80,Peoria,IL,40.732308,-89.345757,Pipe Lining | Stormwater Inspection,4,2,50.0,4.4,12,Pending
P0081,Central Site Solutions 81,Terre Haute,IN,39.416409,-87.350932,Pipe Lining | Pond Maintenance,12,9,75.0,4.0,25,Expiring Soon
P0082,Ironwood Environmental,Dayton,OH,39.684465,-84.229213,Catch Basin Repair | Vactor / Jet Vac,11,8,72.7,3.3,5,Active
P0083,Great Lakes Field Services 83,Columbus,OH,39.546188,-83.745557,Catch Basin Repair | Emergency Callout,4,0,0.0,4.5,16,Active
P0084,Great Lakes Site Solutions,Lexington,KY,38.095981,-84.15515,Catch Basin Repair | Erosion Control,21,15,71.4,4.2,34,Active
P0085,Midwest Contracting 85,Grand Rapids,MI,42.989195,-85.936067,Pipe Lining | Pond Maintenance | Stormwater Inspection,11,4,36.4,3.5,10,Expiring Soon
P0086,Heartland Restoration 86,Cleveland,OH,41.399055,-81.437253,CCTV Inspection | Catch Basin Repair | Pipe Lining | Stormwater Inspection,12,11,91.7,3.6,24,Inactive
P0087,Northstar Drainage Group,Detroit,MI,42.040048,-82.893897,CCTV Inspection | Catch Basin Repair | Pipe Lining | Stormwater Inspection,9,4,44.4,3.4,30,Active
P0088,Summit Drainage Group 88,Grand Rapids,MI,42.794,-85.838948,Vactor / Jet Vac,21,8,38.1,3.9,24,Expiring Soon
P0089,Red Oak Field Services 89,Lafayette,IN,40.363712,-86.770128,Vactor / Jet Vac,22,13,59.1,4.8,16,Active
P0090,Midwest Utility Services,Peoria,IL,40.28008,-89.247489,Catch Basin Repair | Pond Maintenance | Stormwater Inspection | Vactor / Jet Vac,6,2,33.3,4.7,24,Active
P0091,Red Oak Environmental,Lansing,MI,42.695781,-84.443892,Pond Maintenance,6,7,116.7,5.0,20,Active
P0092,Northstar Municipal Services,Chicago,IL,41.922953,-87.285403,Catch Basin Repair | Pond Maintenance | Stormwater Inspection,16,6,37.5,4.3,19,Pending
P0093,Crossroads Municipal Services,Toledo,OH,41.740694,-83.804578,Emergency Callout | Pond Maintenance | Stormwater Inspection | Vactor / Jet Vac,23,7,30.4,3.3,7,Inactive
P0094,Red Oak Site Solutions 94,Cincinnati,OH,38.974671,-84.605821,CCTV Inspection,9,10,111.1,4.7,9,Active
P0095,Summit Environmental,South Bend,IN,41.773758,-86.382265,Emergency Callout | Pipe Lining,5,1,20.0,4.3,26,Active
P0096,Great Lakes Field Services 96,Toledo,OH,41.557808,-83.197468,Catch Basin Repair,12,3,25.0,4.2,48,Active
P0097,Premier Infrastructure,Cincinnati,OH,39.165562,-84.053371,Emergency Callout | Pipe Lining,8,4,50.0,4.5,19,Active
P0098,Northstar Municipal Services 98,Toledo,OH,41.605086,-83.787334,Catch Basin Repair | Emergency Callout | Pipe Lining | Vactor / Jet Vac,16,10,62.5,3.8,27,Active
P0099,Central Infrastructure 99,Springfield,IL,40.08558,-89.53281,Erosion Control | Stormwater Inspection,14,6,42.9,4.4,16,Active
P0100,Clearwater Municipal Services 100,South Bend,IN,41.938353,-86.83805,Stormwater Inspection | Vactor / Jet Vac,12,5,41.7,3.3,3,Active
P0101,Central Restoration,Terre Haute,IN,39.848581,-87.127441,CCTV Inspection | Pond Maintenance,22,9,40.9,3.5,1,Active
P0102,Heartland Field Services,Springfield,IL,39.629521,-88.875567,Erosion Control | Pipe Lining,7,5,71.4,3.9,25,Active
P0103,Evergreen Waterworks,Springfield,IL,39.344632,-89.745243,Catch Basin Repair | Emergency Callout | Vactor / Jet Vac,14,7,50.0,4.2,28,Active
P0104,Crossroads Restoration,Lexington,KY,38.137101,-84.289836,Erosion Control | Pond Maintenance | Vactor / Jet Vac,18,7,38.9,4.6,37,Active
P0105,Midwest Municipal Services,Detroit,MI,42.059758,-83.329863,Emergency Callout | Stormwater Inspection | Vactor / Jet Vac,10,9,90.0,4.1,35,Active
P0106,Central Field Services,Toledo,OH,41.52889,-83.072285,Catch Basin Repair,9,5,55.6,4.3,37,Active
P0107,Premier Infrastructure 107,Grand Rapids,MI,42.862104,-85.969259,CCTV Inspection,18,8,44.4,4.4,2,Active
P0108,Central Drainage Group 108,Lafayette,IN,40.595192,-87.047707,Catch Basin Repair | Pond Maintenance,19,13,68.4,3.1,11,Active
P0109,Summit Waterworks 109,Grand Rapids,MI,42.491189,-85.932493,Pipe Lining,6,4,66.7,4.1,17,Expiring Soon
P0110,Midwest Restoration,Chicago,IL,41.833528,-87.564716,Vactor / Jet Vac,13,4,30.8,4.5,27,Pending
P0111,Red Oak Field Services 111,Lansing,MI,42.840311,-84.377409,Catch Basin Repair | Emergency Callout | Pond Maintenance,15,9,60.0,5.0,19,Active
P0112,Premier Field Services,Grand Rapids,MI,42.877417,-85.909229,CCTV Inspection | Catch Basin Repair | Erosion Control | Pond Maintenance,16,5,31.2,3.6,10,Pending
P0113,Blue River Contracting 113,Chicago,IL,41.858309,-87.522826,Catch Basin Repair | Erosion Control | Stormwater Inspection,24,13,54.2,3.9,29,Active
P0114,Summit Restoration,Fort Wayne,IN,41.286336,-85.190487,Catch Basin Repair | Erosion Control | Stormwater Inspection | Vactor / Jet Vac,7,1,14.3,4.4,22,Pending
P0115,Great Lakes Utility Services,Indianapolis,IN,39.362924,-86.179854,Pipe Lining | Vactor / Jet Vac,19,11,57.9,3.8,22,Active
P0116,Red Oak Infrastructure,Lexington,KY,37.63325,-84.07612,Erosion Control | Pipe Lining | Stormwater Inspection,19,14,73.7,4.1,23,Active
P0117,Clearwater Drainage Group 117,South Bend,IN,41.001622,-86.622031,CCTV Inspection | Catch Basin Repair | Erosion Control | Vactor / Jet Vac,18,9,50.0,3.7,27,Expiring Soon
P0118,Blue River Contracting 118,Indianapolis,IN,40.327643,-86.534617,Pipe Lining | Pond Maintenance | Stormwater Inspection,17,6,35.3,4.3,37,Active
P0119,Northstar Utility Services 119,Chicago,IL,41.535835,-87.550108,CCTV Inspection,23,18,78.3,3.5,5,Active
P0120,Central Municipal Services,Columbus,OH,39.84259,-83.165388,Emergency Callout,24,15,62.5,4.3,1,Active
P0121,Keystone Field Services,Indianapolis,IN,39.912715,-86.342912,Catch Basin Repair | Pipe Lining | Vactor / Jet Vac,15,12,80.0,3.9,12,Active
P0122,Great Lakes Drainage Group 122,Chicago,IL,42.029617,-87.385664,CCTV Inspection | Pond Maintenance,16,10,62.5,3.4,25,Active
P0123,Northstar Contracting 123,Lexington,KY,37.750994,-84.428412,Pond Maintenance | Vactor / Jet Vac,16,4,25.0,4.4,11,Active
P0124,Keystone Municipal Services 124,Fort Wayne,IN,40.720162,-84.910978,CCTV Inspection | Pond Maintenance | Stormwater Inspection,23,13,56.5,3.9,35,Active
P0125,Northstar Drainage Group 125,Cincinnati,OH,38.979717,-84.501726,Erosion Control | Pipe Lining,7,4,57.1,3.9,25,Active
P0126,Blue River Municipal Services,Peoria,IL,40.544233,-89.720724,Pipe Lining | Vactor / Jet Vac,13,11,84.6,3.7,1,Expiring Soon
P0127,Clearwater Utility Services,Terre Haute,IN,39.917762,-86.598115,Erosion Control | Pond Maintenance | Stormwater Inspection,12,5,41.7,3.3,16,Active
P0128,Prairie Drainage Group,Springfield,IL,39.701558,-89.710876,Erosion Control | Stormwater Inspection | Vactor / Jet Vac,18,6,33.3,4.5,25,Active
P0129,Crossroads Waterworks,Columbus,OH,39.542766,-82.775057,Catch Basin Repair | Erosion Control | Stormwater Inspection | Vactor / Jet Vac,12,12,100.0,4.3,16,Active
P0130,Red Oak Drainage Group 130,Louisville,KY,38.212939,-85.561618,Erosion Control | Vactor / Jet Vac,11,0,0.0,4.3,15,Active
P0131,Midwest Municipal Services 131,Grand Rapids,MI,43.480791,-85.723835,CCTV Inspection,24,18,75.0,3.7,26,Pending
P0132,Red Oak Waterworks,Toledo,OH,41.742232,-83.815995,Vactor / Jet Vac,5,3,60.0,4.7,16,Inactive
P0133,Heartland Site Solutions,Evansville,IN,37.49785,-87.57672,Catch Basin Repair | Pipe Lining | Stormwater Inspection,15,5,33.3,4.0,19,Active
P0134,Keystone Waterworks,Lafayette,IN,39.939117,-87.392311,Emergency Callout | Pond Maintenance,17,10,58.8,4.0,1,Active
P0135,Clearwater Field Services 135,Louisville,KY,38.472456,-85.671342,Catch Basin Repair | Stormwater Inspection,15,6,40.0,3.6,29,Inactive
P0136,Ironwood Contracting,Louisville,KY,38.350518,-84.996067,Pond Maintenance,10,6,60.0,4.4,18,Inactive
P0137,Heartland Site Solutions 137,Peoria,IL,40.922297,-89.388973,Emergency Callout | Vactor / Jet Vac,14,11,78.6,4.0,15,Inactive
P0138,Clearwater Infrastructure,Lansing,MI,42.598351,-84.302443,CCTV Inspection | Catch Basin Repair | Pond Maintenance,11,10,90.9,4.0,15,Expiring Soon
P0139,Blue River Drainage Group 139,Milwaukee,WI,43.126842,-87.985144,CCTV Inspection | Pipe Lining | Pond Maintenance,12,9,75.0,3.2,10,Active
P0140,Summit Environmental 140,Indianapolis,IN,39.549323,-86.900614,Catch Basin Repair | Pond Maintenance,14,4,28.6,3.8,17,Active
P0141,Summit Waterworks 141,Fort Wayne,IN,41.39093,-85.217819,CCTV Inspection | Catch Basin Repair,18,6,33.3,4.2,31,Active
P0142,Central Restoration 142,Evansville,IN,37.698332,-87.862484,Vactor / Jet Vac,20,12,60.0,4.1,27,Active
P0143,Blue River Field Services 143,Indianapolis,IN,39.764579,-85.933568,Erosion Control | Stormwater Inspection | Vactor / Jet Vac,19,7,36.8,4.2,17,Active
P0144,Midwest Municipal Services 144,South Bend,IN,41.335951,-86.752313,Pipe Lining,12,8,66.7,4.0,8,Active
P0145,Great Lakes Contracting,Grand Rapids,MI,42.93647,-85.307134,Catch Basin Repair | Pond Maintenance,20,4,20.0,3.5,9,Active
P0146,Crossroads Restoration 146,Evansville,IN,38.38073,-87.480672,Catch Basin Repair | Emergency Callout | Stormwater Inspection,11,8,72.7,3.7,7,Active
P0147,Premier Waterworks 147,Peoria,IL,40.818988,-89.570352,Catch Basin Repair | Erosion Control | Pipe Lining,12,8,66.7,4.1,23,Inactive
P0148,Heartland Infrastructure,Springfield,IL,39.825973,-89.401214,CCTV Inspection | Catch Basin Repair | Vactor / Jet Vac,15,10,66.7,3.5,1,Active
P0149,Ironwood Restoration,Lansing,MI,43.012989,-84.175428,CCTV Inspection | Catch Basin Repair,15,5,33.3,3.4,21,Pending
P0150,Evergreen Municipal Services,Fort Wayne,IN,41.339935,-84.56417,CCTV Inspection | Pond Maintenance,20,12,60.0,4.0,10,Active
P0151,Clearwater Infrastructure 151,Springfield,IL,39.784906,-89.745865,Erosion Control | Vactor / Jet Vac,12,3,25.0,5.0,39,Active
P0152,Crossroads Restoration 152,Chicago,IL,42.196194,-87.924472,Erosion Control | Pipe Lining | Pond Maintenance | Vactor / Jet Vac,4,4,100.0,4.5,24,Active
P0153,Keystone Contracting 153,Toledo,OH,42.002706,-83.334581,Pipe Lining | Stormwater Inspection,8,6,75.0,4.5,23,Active
P0154,Summit Environmental 154,South Bend,IN,41.176989,-86.225241,Catch Basin Repair,16,7,43.8,3.6,38,Active
P0155,Midwest Drainage Group,Terre Haute,IN,39.950819,-86.978949,CCTV Inspection | Emergency Callout | Vactor / Jet Vac,9,5,55.6,4.8,20,Active
P0156,Evergreen Field Services 156,South Bend,IN,41.733183,-86.601911,Emergency Callout | Pond Maintenance,18,11,61.1,4.2,5,Active
P0157,Heartland Contracting,Detroit,MI,42.317065,-83.071313,Erosion Control | Pond Maintenance,22,17,77.3,4.6,20,Active
P0158,Blue River Site Solutions,Toledo,OH,41.72246,-83.523752,Emergency Callout | Vactor / Jet Vac,10,4,40.0,3.7,18,Inactive
P0159,Prairie Drainage Group 159,Lafayette,IN,40.207792,-87.275401,CCTV Inspection,4,3,75.0,4.4,1,Expiring Soon
P0160,Summit Waterworks 160,Terre Haute,IN,39.432348,-87.095276,Catch Basin Repair | Pond Maintenance,21,14,66.7,4.7,20,Active
P0161,Premier Environmental,Fort Wayne,IN,40.842687,-85.486184,CCTV Inspection | Stormwater Inspection,14,8,57.1,4.4,34,Active
P0162,Great Lakes Waterworks 162,Lexington,KY,38.348594,-84.546013,Stormwater Inspection,4,0,0.0,4.1,22,Active
P0163,Central Contracting,Milwaukee,WI,42.982317,-88.091426,CCTV Inspection,11,6,54.5,4.0,13,Active
P0164,Heartland Waterworks 164,Detroit,MI,42.418607,-83.174438,CCTV Inspection | Erosion Control | Pipe Lining,9,5,55.6,4.3,7,Active
P0165,Ironwood Restoration 165,Evansville,IN,37.836852,-87.111011,Erosion Control,15,4,26.7,3.2,1,Active
P0166,Evergreen Site Solutions,Lafayette,IN,40.424851,-86.865406,Pipe Lining,24,12,50.0,4.7,1,Active
P0167,Central Municipal Services 167,Springfield,IL,39.892561,-89.15044,Emergency Callout | Erosion Control | Pond Maintenance,24,9,37.5,4.0,11,Active
P0168,Summit Field Services,Cleveland,OH,41.248883,-81.798804,Emergency Callout,24,17,70.8,5.0,16,Expiring Soon
P0169,Blue River Contracting 169,Lansing,MI,43.265917,-84.544116,Catch Basin Repair | Pond Maintenance,18,15,83.3,4.2,21,Active
P0170,Heartland Infrastructure 170,Toledo,OH,41.755133,-82.520667,Catch Basin Repair | Stormwater Inspection,22,14,63.6,3.9,30,Inactive
P0171,Central Municipal Services 171,Fort Wayne,IN,40.977987,-85.29612,Erosion Control | Pond Maintenance,19,13,68.4,4.2,23,Active
P0172,Central Infrastructure 172,Fort Wayne,IN,41.083216,-85.031693,Emergency Callout | Erosion Control | Vactor / Jet Vac,20,12,60.0,3.3,27,Active
P0173,Central Restoration 173,Peoria,IL,40.418635,-90.050536,Emergency Callout | Pipe Lining,15,8,53.3,4.2,12,Active
P0174,Red Oak Municipal Services,Cleveland,OH,41.731989,-82.123896,Erosion Control,6,2,33.3,3.9,19,Active
P0175,Evergreen Drainage Group 175,Lexington,KY,38.118682,-84.826226,Emergency Callout | Pipe Lining | Vactor / Jet Vac,22,14,63.6,4.2,1,Pending
P0176,Red Oak Waterworks 176,Toledo,OH,41.104394,-83.541842,CCTV Inspection,13,6,46.2,4.2,19,Active
P0177,Crossroads Utility Services,Cleveland,OH,41.562457,-81.391152,CCTV Inspection | Erosion Control,17,6,35.3,3.7,7,Active
P0178,Evergreen Utility Services,Louisville,KY,38.333597,-85.360117,CCTV Inspection | Catch Basin Repair | Erosion Control | Stormwater Inspection,11,4,36.4,3.1,1,Active
P0179,Crossroads Infrastructure 179,Toledo,OH,41.41955,-83.716373,Erosion Control | Vactor / Jet Vac,14,6,42.9,4.2,16,Active
P0180,Summit Utility Services,Lexington,KY,38.334415,-84.720026,Pipe Lining,18,7,38.9,4.4,3,Active
P0181,Central Municipal Services 181,Columbus,OH,40.070314,-82.965983,Emergency Callout,11,5,45.5,4.9,13,Active
P0182,Keystone Site Solutions,Springfield,IL,40.358583,-89.722238,Catch Basin Repair | Emergency Callout,13,3,23.1,4.2,8,Active
P0183,Summit Site Solutions,Chicago,IL,41.667608,-87.502749,Emergency Callout | Pipe Lining | Stormwater Inspection,5,4,80.0,3.9,30,Pending
P0184,Keystone Infrastructure 184,Grand Rapids,MI,43.287502,-85.208483,CCTV Inspection | Pipe Lining | Vactor / Jet Vac,9,6,66.7,4.8,1,Active
P0185,Summit Waterworks 185,Detroit,MI,42.242386,-83.323242,Catch Basin Repair,18,10,55.6,3.9,18,Inactive
P0186,Blue River Waterworks,Chicago,IL,42.405109,-87.68411,Catch Basin Repair | Emergency Callout,6,4,66.7,4.1,20,Active
P0187,Keystone Infrastructure 187,Cleveland,OH,41.500985,-81.550936,CCTV Inspection | Erosion Control | Stormwater Inspection,8,7,87.5,4.9,23,Active
P0188,Great Lakes Utility Services 188,Springfield,IL,39.946773,-90.018377,Catch Basin Repair | Emergency Callout | Pond Maintenance,4,1,25.0,4.6,29,Active
P0189,Crossroads Utility Services 189,Cincinnati,OH,39.162351,-84.228354,Stormwater Inspection | Vactor / Jet Vac,13,8,61.5,4.7,23,Active
P0190,Clearwater Waterworks,Fort Wayne,IN,40.979704,-85.031931,Emergency Callout | Vactor / Jet Vac,7,0,0.0,4.4,1,Active
P0191,Red Oak Restoration 191,Indianapolis,IN,39.28583,-86.013534,Emergency Callout | Pipe Lining,17,10,58.8,3.7,12,Active
P0192,Northstar Waterworks,Columbus,OH,40.344951,-83.15369,CCTV Inspection,20,17,85.0,4.2,24,Active
